Year,Age
1945.0,24.836410453729656
1944.0,19.0
1944.0,24.763984794494604
1942.0,24.619133476024444
1942.0,28.0
1938.0,24.329430839084182
1937.0,16.0
1937.0,14.0
1936.0,24.18457952061405
1936.0,24.18457952061405
1934.0,24.03972820214392
1933.0,23.96730254290884
1932.0,24.0
1930.0,23.750025565203657
1930.0,23.750025565203657
1929.0,14.0
1928.0,23.605174246733526
1928.0,23.605174246733526
1927.0,23.532748587498446
1925.0,23.387897269028315
1925.0,23.387897269028315
1923.0,23.243045950558184
1923.0,23.243045950558184
1917.0,22.80849199514776
1915.0,22.66364067667763
1912.0,22.446363698972448
1911.0,22.373938039737368
1910.0,22.301512380502317
1908.0,22.156661062032157
1908.0,22.156661062032157
1907.0,22.084235402797106
1904.0,21.866958425091894
1901.0,21.649681447386683
1901.0,29.0
1900.0,21.577255788151632
1899.0,21.504830128916552
1899.0,19.0
1895.0,28.0
1895.0,14.0
1893.0,21.07027617350616
1891.0,20.925424855036027
1883.0,20.346019581155474
1883.0,20.346019581155474
1882.0,20.273593921920423
1881.0,20.0
1880.0,20.12874260345029
1880.0,20.12874260345029
1880.0,11.0
1875.0,19.76661430727495
1874.0,19.69418864803987
1869.0,19.332060351864527
1862.0,18.825080737219082
1853.0,18.173249804103477
1852.0,18.100824144868398
1852.0,18.100824144868398
1852.0,18.100824144868398
1847.0,19.0
1970.9359277892868,26.71483712174185
1801.0,14.407115523879952
1771.0,12.234345746827927
1970.9359277892868,26.71483712174185
1970.9359277892868,26.71483712174185
2023.0,30.485611874064915
2022.0,30.413186214829835
2022.0,60.0
2022.0,30.413186214829835
2022.0,56.0
2022.0,32.0
2022.0,18.0
2020.0,56.0
2020.0,12.0
2020.0,22.0
2020.0,30.268334896359704
2019.0,30.195909237124653
2019.0,18.0
2019.0,10.0
2019.0,46.0
2018.0,14.0
2018.0,42.0
2018.0,14.0
2018.0,34.0
2018.0,37.0
2017.0,35.0
2017.0,30.05105791865452
2017.0,30.05105791865452
2017.0,12.0
2016.0,61.0
2016.0,29.97863225941944
2016.0,19.0
2016.0,29.97863225941944
2016.0,15.0
2015.0,50.0
2014.0,29.83378094094931
2014.0,53.0
2014.0,29.0
2013.0,45.0
2013.0,39.0
2012.0,51.0
2012.0,53.0
2012.0,29.68892962247918
2012.0,6.0
2011.0,10.0
2011.0,29.6165039632441
2011.0,29.0
2011.0,29.6165039632441
2011.0,14.0
2011.0,29.6165039632441
2010.0,16.0
2010.0,46.0
2010.0,14.0
2010.0,9.0
2010.0,29.544078304009048
2009.0,25.0
2009.0,34.0
2009.0,22.0
2009.0,29.471652644773968
2009.0,21.0
2009.0,24.0
2008.0,29.399226985538917
2008.0,19.0
2007.0,29.326801326303837
2007.0,29.326801326303837
2007.0,40.0
2007.0,38.0
2006.0,13.0
2006.0,35.0
2005.0,26.0
2005.0,20.0
2005.0,40.0
2005.0,29.181950007833706
2005.0,49.0
2004.0,13.0
2004.0,57.0
2003.0,35.0
2003.0,29.037098689363575
2003.0,56.0
2003.0,18.0
2003.0,84.0
2002.0,23.0
2002.0,16.0
2002.0,60.0
2002.0,36.0
2002.0,15.0
2002.0,19.0
2002.0,14.0
2002.0,16.0
2001.0,28.0
2001.0,21.0
2000.0,56.0
2000.0,16.0
2000.0,44.0
1999.0,17.0
1999.0,29.0
1999.0,18.0
1998.0,16.0
1997.0,17.0
1997.0,18.0
1997.0,34.0
1997.0,27.0
1996.0,18.0
1996.0,52.0
1994.0,43.0
1994.0,19.0
1993.0,61.0
1992.0,35.0
1992.0,19.0
1991.0,28.16799077854276
1991.0,13.0
1989.0,34.0
1989.0,28.023139460072628
1988.0,42.0
1988.0,31.0
1988.0,27.950713800837548
1987.0,16.0
1986.0,18.0
1984.0,17.0
1984.0,27.661011163897285
1984.0,13.0
1984.0,28.0
1983.0,30.0
1982.0,27.516159845427154
1981.0,19.0
1981.0,27.443734186192074
1980.0,16.0
1979.0,27.298882867721943
1979.0,27.298882867721943
1978.0,20.0
1978.0,27.22645720848689
1977.0,18.0
1977.0,24.0
1976.0,19.0
1976.0,27.08160589001676
1974.0,17.0
1972.0,26.79190325307647
1972.0,26.79190325307647
1971.0,30.0
1971.0,26.719477593841418
1971.0,26.719477593841418
1968.0,26.502200616136207
1968.0,26.502200616136207
1968.0,26.502200616136207
1967.0,32.0
1967.0,26.429774956901156
1967.0,26.429774956901156
1967.0,21.0
1967.0,26.429774956901156
1966.0,28.0
1965.0,26.284923638430996
1964.0,25.0
1964.0,24.0
1963.0,26.140072319960865
1963.0,26.140072319960865
1962.0,26.067646660725813
1961.0,18.0
1961.0,25.995221001490734
1961.0,25.995221001490734
1961.0,10.0
1961.0,25.995221001490734
1960.0,25.0
