Activity,total_attacks,fatal_count,provoked_count,unprovoked_count,fatal_rate,prov_rate
Captured,1,1.0,0,1,1.0,0.0
Cargo,2,2.0,0,2,1.0,0.0
Casting,1,0.0,1,0,0.0,1.0
Catching,4,1.0,4,0,0.25,1.0
Chasing,1,0.0,1,0,0.0,1.0
Checking,1,0.0,1,0,0.0,1.0
Chumming,2,0.0,1,1,0.0,0.5
Clamming,3,0.0,2,1,0.0,0.6666666666666666
Cleaning,5,2.0,4,1,0.4,0.8
Climbing,2,2.0,2,0,1.0,1.0
Clinging,2,1.0,2,0,0.5,1.0
Closed,1,1.0,1,0,1.0,1.0
Collecting,11,0.0,11,0,0.0,1.0
Colombian,1,1.0,0,1,1.0,0.0
Columbian,1,1.0,0,1,1.0,0.0
Coming,1,1.0,1,0,1.0,1.0
Commercial,3,1.0,3,0,0.3333333333333333,1.0
Competing,6,0.0,2,4,0.0,0.3333333333333333
Conch,1,0.0,1,0,0.0,1.0
Conducting,2,1.0,1,1,0.5,0.5
Copra,1,0.0,0,1,0.0,0.0
Crabbing,3,0.0,3,0,0.0,1.0
Crayfishing,2,0.0,1,1,0.0,0.5
Crossing,4,4.0,4,0,1.0,1.0
Crouching,2,0.0,2,0,0.0,1.0
Cruising,2,0.0,1,1,0.0,0.5
Dangling,5,1.0,5,0,0.2,1.0
Days,1,0.0,0,1,0.0,0.0
Defecating,1,1.0,1,0,1.0,1.0
Deserting,1,0.0,1,0,0.0,1.0
Dismantling,1,0.0,0,1,0.0,0.0
Ditched,2,1.0,0,2,0.5,0.0
Dived,12,9.0,12,0,0.75,1.0
Diving,194,44.0,192,2,0.2268041237113402,0.9896907216494846
"Diving,",8,1.0,8,0,0.125,1.0
Diving.,1,0.0,1,0,0.0,1.0
Diving/Shark,1,0.0,1,0,0.0,1.0
Diving?,2,1.0,2,0,0.5,1.0
Dog,1,1.0,1,0,1.0,1.0
Dragging,3,0.0,3,0,0.0,1.0
Dress,2,1.0,2,0,0.5,1.0
Drift,1,0.0,0,1,0.0,0.0
Dropping,1,0.0,0,1,0.0,0.0
Dry,1,1.0,1,0,1.0,1.0
During,2,0.0,2,0,0.0,1.0
Dutch,1,1.0,0,1,1.0,0.0
Dynamite,1,0.0,1,0,0.0,1.0
Dynamiting,1,1.0,1,0,1.0,1.0
Ejected,1,0.0,0,1,0.0,0.0
Escaping,4,3.0,4,0,0.75,1.0
Esso,1,1.0,0,1,1.0,0.0
Examining,1,0.0,1,0,0.0,1.0
Exercising,1,0.0,1,0,0.0,1.0
Explosion,2,1.0,0,2,0.5,0.0
Feeding,12,0.0,12,0,0.0,1.0
Feeling,1,0.0,1,0,0.0,1.0
Fell,69,55.0,69,0,0.7971014492753623,1.0
Ferry,3,2.0,0,3,0.6666666666666666,0.0
Fihing,1,0.0,1,0,0.0,1.0
Filming,6,0.0,5,1,0.0,0.8333333333333334
Finning,3,0.0,3,0,0.0,1.0
Fishing,576,67.0,407,168,0.11631944444444445,0.7065972222222222
"Fishing,",39,8.0,35,4,0.20512820512820512,0.8974358974358975
Fishingat,1,0.0,0,1,0.0,0.0
Five,2,2.0,1,1,1.0,0.5
Fleeing,1,1.0,1,0,1.0,1.0
Fleet,1,1.0,0,1,1.0,0.0
Floating,45,7.0,44,1,0.15555555555555556,0.9777777777777777
"Floating,",2,1.0,2,0,0.5,1.0
Fly,1,0.0,1,0,0.0,1.0
Flying,3,1.0,0,3,0.3333333333333333,0.0
Foil-boarding,1,0.0,1,0,0.0,1.0
