Year,Age,Time,Type,Country,Activity,Fatal (Y/N)
1982.0,20.0,16.0,0.0,177,341,0.0
1981.0,32.0,13.0,0.0,177,138,0.0
1981.0,24.0,13.0,1.0,16,137,0.0
1980.0,24.0,13.0,0.0,9,341,0.0
1978.0,39.0,13.0,1.0,177,117,0.0
1974.0,10.0,13.0,1.0,177,20,1.0
1972.0,33.0,13.0,0.0,117,125,0.0
1968.0,24.0,13.0,1.0,125,298,0.0
1968.0,12.0,13.0,0.0,51,341,0.0
1968.0,20.0,13.0,0.0,177,336,0.0
1967.0,24.0,13.0,1.0,145,125,0.0
1966.0,13.0,13.0,0.0,121,341,1.0
1965.0,24.0,13.0,0.0,121,313,0.0
1965.0,24.0,13.0,0.0,177,336,0.0
1964.0,19.0,14.0,0.0,95,131,0.0
1964.0,24.0,13.0,0.0,121,125,1.0
1964.0,24.0,11.0,1.0,145,287,0.0
1964.0,21.0,12.0,0.0,177,313,0.0
1964.0,20.0,15.0,0.0,49,341,0.0
1963.0,24.0,15.0,0.0,145,341,0.0
1962.0,44.0,12.0,0.0,106,313,0.0
1961.0,21.0,14.0,0.0,74,313,0.0
1961.0,40.0,13.0,0.0,9,69,0.0
1960.0,24.0,13.0,0.0,9,379,0.0
1959.0,24.0,13.0,0.0,95,341,1.0
1959.0,14.0,14.0,0.0,145,364,0.0
1959.0,17.0,9.0,0.0,9,337,0.0
1958.0,36.0,12.0,0.0,11,314,0.0
1958.0,24.0,13.0,0.0,177,342,0.0
1958.0,24.0,13.0,0.0,166,313,0.0
1957.0,30.0,13.0,0.0,49,125,0.0
1956.0,24.0,13.0,0.0,94,125,1.0
1955.0,24.0,13.0,1.0,9,221,0.0
1955.0,25.0,14.0,0.0,9,341,1.0
1954.0,24.0,13.0,0.0,95,138,1.0
1953.0,25.0,18.0,0.0,9,313,0.0
1951.0,24.0,13.0,0.0,31,35,1.0
1949.0,18.0,16.0,0.0,9,341,0.0
1947.0,12.0,16.0,0.0,9,341,1.0
1945.0,24.0,13.0,0.0,120,35,0.0
1944.0,19.0,13.0,1.0,125,341,0.0
1944.0,24.0,13.0,0.0,145,364,0.0
1942.0,28.0,15.0,0.0,9,341,1.0
1938.0,24.0,13.0,0.0,71,342,0.0
1937.0,16.0,13.0,0.0,9,341,0.0
1937.0,14.0,13.0,0.0,177,341,1.0
1936.0,24.0,13.0,1.0,9,265,0.0
1936.0,24.0,13.0,0.0,9,231,0.0
1934.0,24.0,13.0,1.0,74,125,0.0
1933.0,24.0,13.0,0.0,177,126,0.0
1932.0,24.0,11.0,0.0,9,341,0.0
1930.0,24.0,6.0,0.0,177,341,0.0
1930.0,24.0,13.0,0.0,145,341,1.0
1929.0,14.0,18.0,0.0,9,47,1.0
1927.0,24.0,13.0,0.0,49,325,0.0
1923.0,24.0,13.0,0.0,9,126,1.0
1917.0,24.0,13.0,0.0,177,328,0.0
1915.0,24.0,13.0,0.0,9,341,0.0
1912.0,24.0,13.0,0.0,177,341,0.0
1911.0,24.0,13.0,0.0,177,181,1.0
1910.0,24.0,13.0,1.0,9,293,1.0
1908.0,24.0,13.0,0.0,177,222,0.0
1907.0,24.0,13.0,0.0,28,125,0.0
1904.0,24.0,13.0,0.0,125,35,0.0
1901.0,24.0,13.0,0.0,125,349,0.0
1901.0,29.0,14.0,0.0,145,341,1.0
1899.0,24.0,13.0,0.0,85,319,1.0
1899.0,19.0,9.0,0.0,42,35,0.0
1895.0,28.0,12.0,0.0,145,87,1.0
1895.0,14.0,13.0,0.0,9,341,1.0
1893.0,24.0,13.0,0.0,108,16,1.0
1891.0,24.0,13.0,0.0,106,342,0.0
1882.0,24.0,13.0,0.0,177,108,0.0
1881.0,20.0,13.0,0.0,184,132,1.0
1880.0,24.0,11.0,0.0,100,341,1.0
1880.0,24.0,12.0,0.0,66,35,1.0
1880.0,11.0,10.0,0.0,66,35,1.0
1874.0,24.0,13.0,0.0,177,35,0.0
1869.0,24.0,13.0,0.0,9,217,0.0
1862.0,24.0,13.0,0.0,76,44,1.0
1853.0,24.0,13.0,0.0,56,341,0.0
1852.0,24.0,13.0,0.0,9,120,1.0
1852.0,24.0,1.0,1.0,145,397,1.0
1847.0,19.0,13.0,0.0,56,341,1.0
1801.0,24.0,13.0,0.0,184,324,1.0
2023.0,24.0,13.0,0.0,177,184,0.0
2022.0,24.0,17.0,0.0,177,336,0.0
2022.0,60.0,13.0,0.0,76,309,1.0
2022.0,24.0,13.0,0.0,177,125,0.0
2022.0,56.0,13.0,0.0,31,341,1.0
2022.0,32.0,15.0,0.0,9,336,0.0
2022.0,18.0,17.0,0.0,177,336,0.0
2020.0,56.0,7.0,0.0,177,336,1.0
2020.0,12.0,11.0,0.0,177,336,0.0
2020.0,22.0,17.0,0.0,177,336,0.0
2020.0,24.0,16.0,0.0,9,336,0.0
2019.0,24.0,13.0,0.0,73,309,0.0
2019.0,18.0,13.0,0.0,177,336,0.0
2019.0,10.0,16.0,0.0,104,341,0.0
2019.0,46.0,16.0,0.0,177,336,0.0
2018.0,14.0,10.0,0.0,177,336,0.0
2018.0,42.0,10.0,0.0,177,313,0.0
2018.0,14.0,11.0,0.0,177,336,0.0
2018.0,34.0,13.0,0.0,9,118,0.0
2018.0,37.0,8.0,0.0,9,336,0.0
2017.0,35.0,6.0,0.0,9,336,0.0
2017.0,24.0,13.0,0.0,145,342,1.0
2017.0,24.0,15.0,0.0,11,313,0.0
2016.0,61.0,9.0,0.0,9,138,0.0
2016.0,24.0,13.0,0.0,9,336,0.0
2016.0,19.0,13.0,0.0,177,47,0.0
2016.0,15.0,11.0,0.0,177,336,0.0
2015.0,50.0,17.0,0.0,177,323,0.0
2014.0,53.0,13.0,0.0,177,309,0.0
2014.0,29.0,13.0,0.0,9,120,0.0
2013.0,45.0,13.0,0.0,177,341,0.0
2013.0,39.0,13.0,0.0,145,341,0.0
2012.0,51.0,15.0,0.0,177,341,0.0
2012.0,53.0,13.0,0.0,136,287,0.0
2012.0,24.0,13.0,0.0,11,313,0.0
2012.0,6.0,11.0,0.0,177,378,0.0
2011.0,10.0,13.0,0.0,9,341,0.0
2011.0,24.0,13.0,0.0,177,336,0.0
2011.0,24.0,17.0,0.0,177,378,0.0
2010.0,16.0,15.0,0.0,177,47,0.0
2010.0,46.0,13.0,0.0,177,336,0.0
2010.0,14.0,13.0,0.0,9,187,0.0
2010.0,9.0,13.0,0.0,9,309,0.0
2010.0,24.0,13.0,0.0,145,336,0.0
2009.0,25.0,10.0,0.0,9,185,0.0
2009.0,22.0,16.0,0.0,177,341,0.0
2009.0,24.0,8.0,0.0,177,336,0.0
2009.0,21.0,13.0,0.0,9,378,0.0
2009.0,24.0,10.0,0.0,9,309,0.0
2008.0,24.0,13.0,0.0,42,279,0.0
2007.0,24.0,14.0,0.0,9,336,0.0
2007.0,24.0,17.0,0.0,177,378,0.0
2007.0,40.0,13.0,0.0,177,261,0.0
2007.0,38.0,14.0,0.0,9,378,0.0
2006.0,13.0,13.0,0.0,177,341,0.0
2006.0,35.0,13.0,0.0,177,313,0.0
2005.0,26.0,7.0,0.0,177,336,0.0
2005.0,20.0,13.0,0.0,145,324,0.0
2005.0,40.0,15.0,0.0,9,336,0.0
2004.0,13.0,17.0,0.0,177,341,0.0
2004.0,57.0,7.0,0.0,177,336,1.0
2003.0,35.0,15.0,0.0,177,336,0.0
2003.0,24.0,13.0,0.0,9,324,0.0
2003.0,18.0,14.0,0.0,177,336,0.0
2003.0,84.0,13.0,0.0,9,341,1.0
2002.0,23.0,2.0,0.0,9,341,1.0
2002.0,16.0,13.0,0.0,177,54,0.0
2002.0,60.0,11.0,0.0,177,341,0.0
2002.0,36.0,17.0,0.0,177,379,0.0
2002.0,15.0,12.0,0.0,177,324,0.0
2002.0,19.0,18.0,0.0,177,336,0.0
2002.0,14.0,13.0,0.0,121,76,0.0
2002.0,16.0,2.0,0.0,145,125,0.0
2001.0,28.0,18.0,0.0,177,341,1.0
2001.0,21.0,16.0,0.0,177,336,0.0
2000.0,56.0,11.0,0.0,177,341,0.0
2000.0,16.0,13.0,0.0,177,336,0.0
2000.0,44.0,6.0,0.0,177,341,0.0
1999.0,17.0,18.0,0.0,177,336,0.0
1999.0,29.0,13.0,0.0,145,336,0.0
1999.0,18.0,13.0,0.0,177,47,0.0
1998.0,16.0,13.0,0.0,145,47,0.0
